,track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
2522,0Oa9mHOnH14GZ4toWwkf4c,Good Life (with G-Eazy & Kehlani),G-Eazy,65,3KDuNEtT7I41hNbzMUakyq,Good Life (with G-Eazy & Kehlani),2017-03-17,Electropop Hits  2017-2020,7kyvBmlc1uSqsTL0EuNLrx,pop,electropop,0.572,0.778,1,-5.208,1,0.233,0.00638,0.0,0.0563,0.54,168.073,225520
3815,0Oe49j06Bjrxs8PltuVeaW,On The Floor - Radio Edit,Jennifer Lopez,74,543NK5YT3RjGmP7nFzWJPm,On The Floor,2011-01-01,10er Playlist,1kEczIkZH8IgaWT2BiApxZ,pop,electropop,0.758,0.686,11,-6.346,1,0.0792,0.0848,0.00127,0.142,0.444,130.007,230907
2384,0OwX5aROoW1Iip8FV51Efg,Alarm,Anne-Marie,65,2Z3HQO6NL3812mnNj7htXv,Alarm,2016-05-20,post teen pop,3kvwJXPULhSUalL6ykJbn5,pop,post-teen pop,0.756,0.589,0,-5.093,1,0.232,0.0812,0.0,0.176,0.811,146.928,205593
4876,0Oyf6ZdlOrWfACzS96HFag,Heartbreaker,LEVV,16,32DkwfjTDWsaVMD5EBHuFp,Strange Fire,2015-09-11,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,49qyKvg6UAQAvIMUIGMnP3,pop,indie poptimism,0.534,0.852,7,-7.308,1,0.0354,0.000879,0.00506,0.0846,0.263,108.019,233877
5072,0P6AWOA4LG1XOctzaVu5tt,The Weekend - Funk Wav Remix,SZA,76,5enEsi887wD3qGoMCK4jLr,The Weekend (Funk Wav Remix),2017-12-15,indie poptimism,1E5VdGGWkpDQ682gdvJAZH,pop,indie poptimism,0.775,0.573,11,-4.933,1,0.0585,0.495,0.0,0.126,0.667,101.925,171806
3352,0P9uFnsHlwafDAZ0i3k9nX,Tú y Yo,Motel,35,5enlta6rVSuQ2hs4hjM1rc,Tú y Yo,2019-01-25,ELECTROPOP EN ESPAÑOL,3VfscqF7zq65IGKiYM3FS0,pop,electropop,0.507,0.83,0,-6.375,1,0.0356,0.000325,0.0631,0.0926,0.209,141.9,277750
502,0PCRR19Pf4iiuvSrPxtQ0x,Sunshine,David Guetta,54,4bTjdxhRRUiWfwj200f9Kl,Nothing but the Beat (Ultimate Edition),2012-12-07,Dance Pop,0B2HdP15IucgE0vk3sluJR,pop,dance pop,0.59,0.8,1,-5.044,0,0.0437,0.00064,0.902,0.0512,0.219,127.994,360960
1266,0PDUDa38GO8lMxLCRc4lL1,PILLOWTALK,ZAYN,78,5amj9zNeZ3B2EdpBgXrOZ0,Mind Of Mine (Deluxe Edition),2016-03-25,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.584,0.7,11,-4.275,1,0.0456,0.117,0.0,0.0939,0.438,124.944,202747
1866,0PG9fbaaHFHfre2gUVo7AN,Please Me,Cardi B,79,5a4sJJ3qjn6hqRsvm0Veso,Please Me,2019-02-15,Someone You Loved Lewis Capaldi (Pop Music Mix),6IErGHjBfhey8URq0mFnPi,pop,post-teen pop,0.747,0.57,1,-6.711,1,0.081,0.0642,0.0,0.0832,0.65,133.992,200890
1070,0PHwCbA310LLIMcSDpQbgF,Two Weeks,FKA twigs,58,5VqGGKeWpIBRFh4M4XmqDK,LP1,2014-08-12,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.48,0.717,0,-6.663,1,0.23,0.0625,0.000685,0.0814,0.335,109.756,247547
1013,0PNcP6f0d89QuhYvibiW2t,Sounds Good To Me - Gerd Janson Remix,Hanne Mjøen,26,1SNgXpTmsaV5KezgovxwFJ,Sounds Good To Me (Gerd Janson Remix),2018-11-23,Pop Dance Hits,7eERKCkgNKCCx5GYdeMIZf,pop,dance pop,0.674,0.919,1,-8.523,1,0.046,0.00161,0.491,0.143,0.89,110.0,192645
4414,0POuQCMT4zyRzB2MjbzVaI,Bad Vibes,K.Flay,55,1CJDBCPg27ASz4eWE7oeNz,Solutions,2019-07-12,2019 in Indie Poptimism,16RNbqnNCCLlBJti7JU5nc,pop,indie poptimism,0.716,0.727,10,-6.734,1,0.296,0.0264,0.0,0.0717,0.597,97.977,185907
5020,0PSHEHVctL81aDFJ2V0wQ0,Feeling Right (Everything Is Nice) (feat. Popcaan & Wale),Matoma,41,4Hq1UiCCPrJWOG4q3CK8az,Feeling Right (Everything Is Nice) [feat. Popcaan & Wale],2015-10-16,Indie Poptimism!,4hKPJNFIhdAg4pAksn78FJ,pop,indie poptimism,0.794,0.72,6,-5.186,1,0.0653,0.359,6.3e-05,0.296,0.384,99.962,199200
2774,0PZVhSVqZz9kyTHjPaMRtU,Escalera,Javiera Mena,27,4C3iEuPGaKx70a24kTEZmA,Espejo,2018-04-27,This Is: Javiera Mena,37i9dQZF1DWSOvcBNdfJ87,pop,electropop,0.647,0.596,1,-6.991,0,0.038,0.0168,0.801,0.132,0.173,125.038,238840
4515,0PdATekmkKwAlGMHyPW3QI,Bad Habits,The Federal Empire,48,3Lj5OnirUQOPzro48kIeG5,I Never Liked Your Friends,2019-07-12,Indie Poptimism,1pZWCY50kMUhshcESknir8,pop,indie poptimism,0.309,0.869,2,-3.298,1,0.0771,0.0136,0.0,0.0454,0.454,111.614,257076
4791,0PsRz82DCGREaAwbYJ8FAL,Broken Hearted,Mattia Pironti,40,6OmN1ovn1r8Ek2NqZhNYub,Broken Hearted,2020-01-03,The Pulse of Indie Poptimism,5qFXOOxrQVyS4UCq3UilZN,pop,indie poptimism,0.737,0.583,5,-6.403,1,0.274,0.27,0.0,0.0808,0.751,173.987,177731
4048,0Psz3az3RIYfJpnsajBT8N,Nanã,Polo & Pan,65,0SuFqlCe5i30Fr75ZlPQVT,Caravelle,2017-05-19,POPTIMISM,6lWMi4lPiiPwDqn8ZpeyAY,pop,indie poptimism,0.685,0.735,4,-6.337,0,0.0334,0.191,0.038,0.188,0.385,94.035,190827
3770,0PyGOEylGJ63YvEtA7Dw9P,Here with You,Lost Frequencies,44,6OQZYtTfEuNohU7rdqzDIW,Less Is More (Deluxe),2017-07-14,ElectroPop,0cuHKz65ZPqBX1brG8djlg,pop,electropop,0.415,0.774,6,-6.887,1,0.0868,0.00865,0.000195,0.135,0.105,86.709,159545
1703,0QDTcZ2mK5v9KQbfG01jlc,First Date,blink-182,24,3QpsAEvpGg8Ai5aY0cy4Rb,Take Off Your Pants And Jacket,2001-01-01,Pop Punk | Post-Hardcore,1YgWQAs1s77NzieIH4ARKn,pop,post-teen pop,0.581,0.923,0,-4.374,1,0.0407,0.000757,0.0,0.182,0.887,95.616,171533
3547,0QKHlkLVjpaJF98RQiL9rR,Manus Manum Lavat,Saltatio Mortis,26,1XWvxblOJXf8FnfZqIQr0I,Wer Wind sät,2009-01-01,Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop,53CmFroG6MWR5reOOXJX6B,pop,electropop,0.63,0.948,2,-3.137,1,0.129,0.00585,1.16e-06,0.163,0.111,104.009,224653
4453,0QKNwgSzAFRQHlGoNWy3gb,Storm,Paperwhite,40,2rZXQbFUlCmyAS7HlTqWYF,Escape,2016-05-10,Indie Poptimism,1pZWCY50kMUhshcESknir8,pop,indie poptimism,0.638,0.793,10,-6.676,1,0.0393,0.0109,0.0253,0.161,0.523,113.944,195973
4316,0QM6nU9Wr56ph2s8Dwl7uo,Swimming In Your Feelings,HAVEN,45,2g3ezbmKmkAGTY99Gy6VQL,Swimming In Your Feelings,2019-11-01,The Edge of Indie Poptimism,5vIdb67lQcdFwoVkE4UMep,pop,indie poptimism,0.741,0.699,9,-6.718,1,0.0746,0.305,0.0,0.3,0.728,147.127,161890
2034,0QNmyQRKrAZ15vdi9QUnXp,Margaret's Hymn,Deborah's Child,34,6HARsVWUmJmT0QKJoCBx9z,Margaret's Hymn,2019-08-21,a taste of the mainstream,4gbXqmZDUFHqlaYjf4uVyS,pop,post-teen pop,0.737,0.369,9,-6.888,1,0.112,0.494,1.18e-06,0.244,0.494,129.988,246741
2781,0QRSW7kFbDloM7ksDqWMjM,Al Siguiente Nivel,Javiera Mena,0,0xwdGnc7p7WOlIeQLU5mIw,Esquemas Juveniles,2006-10-05,This Is: Javiera Mena,37i9dQZF1DWSOvcBNdfJ87,pop,electropop,0.454,0.653,1,-7.016,1,0.0347,8.48e-05,0.00206,0.129,0.505,167.977,244374
1456,0QVAlchLCx15ZLSoR9Wg1B,Higher,The Saturdays,57,5IZLz1qxZ3N2SXLCR9Pv4g,Headlines,2010-01-01,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.639,0.862,10,-3.292,1,0.0341,0.049,6.81e-06,0.264,0.596,117.011,207613
284,0Qew3aYvQPGPjfL7gbe6x1,Nobody,Martin Jensen,66,0eMIuQHirCneY8uw37o03y,Nobody,2019-03-01,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.673,0.687,6,-5.295,0,0.0623,0.269,0.0,0.181,0.524,96.964,211040
4886,0QfYrtWTIrvl282F8KlKis,When You Come Home,Trevor Dahl,0,78oRQ40cJ2nXV0hKyw3uCb,When You Come Home,2015-11-27,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,49qyKvg6UAQAvIMUIGMnP3,pop,indie poptimism,0.635,0.891,0,-3.913,1,0.0265,0.00531,8.57e-05,0.0743,0.484,105.0,228053
1587,0QkWikH5Z3U0f79T9iuF6c,Judas,Lady Gaga,56,2KkMVsxymoNR7hRmBcMttd,Born This Way,2011-01-01,"post-teen alternative, indie, pop (large variety)",1y42gwI5cuwjBslPyQNfqb,pop,post-teen pop,0.661,0.937,10,-3.83,0,0.0744,0.000967,1.59e-05,0.355,0.535,131.001,249067
343,0Qmqhtqco9ifi7ScZh1095,Wait For Me,Steve Brian,42,08ydaEEAwxumFQjkRHx3Sa,Wait For Me,2018-10-12,Pop Warmup 130 BPM,37i9dQZF1DX3PIAZMcbo2T,pop,dance pop,0.465,0.739,10,-7.786,1,0.0648,0.00987,1.88e-06,0.373,0.0652,125.994,217143
1460,0QsKEPcviDIqoOdtZvbixA,"It's Party Time (From ""Hotel Transylvania 3"")",Joe Jonas,44,7uS4VHNtrruzysflbjANoQ,"It's Party Time (From ""Hotel Transylvania 3"")",2018-07-06,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.565,0.748,8,-5.78,1,0.0576,0.425,0.0,0.34,0.653,75.972,149158
2433,0R2HfrviMaDTkM0u9GUXYV,Home,New Spell,26,2gPL6gShEyraQ0BDA89FaL,Home,2019-12-06,Electro Pop | Electropop,2a5i2ZtEXGKwVGL16J8N0p,pop,electropop,0.536,0.564,8,-11.09,0,0.0345,0.0745,0.00106,0.11,0.471,79.974,237875
4365,0R5GHstZfGdRcfXrAcL7Sd,Off Limits,BAYNK,54,5hb9aZmt8McCp8ktZh2dJZ,Someone's EP II,2019-05-22,2019 in Indie Poptimism,16RNbqnNCCLlBJti7JU5nc,pop,indie poptimism,0.663,0.563,6,-8.072,1,0.309,0.483,0.0,0.0825,0.551,80.013,159750
896,0R8tMSvCvkHpiz7DjnBsAw,Let Go,Hillsong Young & Free,43,1IzKxjCQN2dZYpUvTWTQBd,Let Go,2018-05-18,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,pop,dance pop,0.585,0.948,0,-4.572,1,0.115,0.0209,0.0,0.063,0.526,125.993,231280
1843,0RAWnqcWbkXp5XJlTGH3Si,Telephone,Waterparks,52,7aKMsXKKABZQXKXjQaQHXG,FANDOM,2019-10-11,🤩🤪Post Teen Pop🤪🤩,6IT8LGpwLw3Pt2XnVUBN7j,pop,post-teen pop,0.547,0.948,8,-3.256,1,0.0693,0.0302,5.26e-05,0.335,0.892,168.98,153995
2436,0RNZpZIzKcR0UOpxlXznNj,Moving On,Quentyn,32,2g0Qzfs226IvZ11oh87Qr7,Moving On (feat. Robin Vane),2017-06-30,Electro Pop | Electropop,2a5i2ZtEXGKwVGL16J8N0p,pop,electropop,0.562,0.799,1,-5.263,1,0.0421,0.0444,0.00257,0.334,0.225,116.978,221538
1695,0RQEDIV1tgkz66llhdUqJi,Tear Down The Stars,The Years Gone By,0,30WU9cnG33f11JveTQPNgw,Forever Comes Too Soon,2008-09-02,Pop Punk | Post-Hardcore,1YgWQAs1s77NzieIH4ARKn,pop,post-teen pop,0.553,0.484,11,-8.655,1,0.0366,0.651,0.0,0.126,0.228,126.824,209000
1293,0RX4shen8SAXV4ZdKlTOPu,Sad (feat. Afrojack) - SLVR Remix,Chico Rose,49,6QMOrS996LqskxLCFGXHGQ,Sad (feat. Afrojack) [SLVR Remix],2019-11-08,ELETRIC POP & DANCE,7316uT3vVzTidCI8cinBUv,pop,dance pop,0.651,0.925,1,-3.382,1,0.0666,0.0232,0.0134,0.0567,0.52,127.994,163125
872,0ReSY5XOCFXFRooRS7hPxk,God Only Knows (GATTÜSO Remix),for KING & COUNTRY,52,5gdySuafgIrPQvdKzjbmIi,God Only Knows (GATTÜSO Remix),2019-05-31,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,pop,dance pop,0.545,0.889,2,-4.42,1,0.0448,0.00377,2.99e-05,0.103,0.429,144.039,198371
4266,0RgCZbrfpNSRyNmnoym607,Daydreaming,Fletcher Reed,41,6lCgvPmtHCFn9Y69Qg72LF,Daydreaming,2020-01-10,The Edge of Indie Poptimism,5vIdb67lQcdFwoVkE4UMep,pop,indie poptimism,0.686,0.66,11,-8.458,1,0.0322,0.405,0.0892,0.108,0.322,96.975,173646
3462,0RjuP2ncb70tx4f6RdwaCB,Presence Of Love,The Alarm,28,6qqneGuGzKeMMHvbqWz2HF,Eye Of The Hurricane,1987-01-01,"Maxi Pop  GOLD (New Wave, Electropop, Synth Pop...)",2nRWtTI9a2LWjJ9Wy3JZs5,pop,electropop,0.672,0.778,1,-9.597,1,0.0276,0.0216,3.01e-06,0.0291,0.65,120.874,243720
415,0S1lconF5qUvqUrovZDmSA,Possible,片寄涼太,49,6VtGVN3uNAOZc1WbhC4j7H,Possible,2020-01-07,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.713,0.709,4,-6.451,1,0.0703,0.042,0.0,0.0995,0.708,109.973,283400
2962,0S9xsXyJUk0MlUjWdFyKDm,Call The Law - Main Version - Explicit,OutKast,35,3L6JBfRxhzGzhhRDlTEdBz,Idlewild,2006-08-22,This Is Janelle Monáe,37i9dQZF1DWVT93EW7kPT9,pop,electropop,0.684,0.701,1,-6.849,1,0.328,0.044,0.00641,0.0628,0.709,199.985,291573
566,0SDgPPSjRPdGD3hyrCTG2S,Don't Worry Bout Me - Alle Farben Remix,Zara Larsson,48,3oEW0zWluwima7PXrGi8aF,Don't Worry Bout Me (Remixes),2019-05-03,Dance Pop Tunes,4SdfG4cPG3skmTiQLozZGh,pop,dance pop,0.629,0.727,5,-7.117,1,0.264,0.0447,5.29e-06,0.178,0.355,124.938,171914
3613,0SNGe4xksgp7CGnY5kMXOJ,Every Breath You Take,The Police,67,0CTCk1eshEadFqZ4NBfe9N,Stranger Things (Soundtrack from the Netflix Original Series),2017-10-27,80's Songs | Top 💯 80s Music Hits,65HtIbyFkaQPflCa4oW8KO,pop,electropop,0.822,0.478,1,-8.746,1,0.0343,0.559,0.0073,0.0813,0.722,117.394,251573
4506,0SNmsxil0gv3UP8TFB6Pz8,Don't Change Me,Kid Runner,27,5UphgOYZ2jSEAuXfBSiuc1,Don't Change Me,2016-07-29,Indie Poptimism,1pZWCY50kMUhshcESknir8,pop,indie poptimism,0.67,0.888,0,-5.368,1,0.0299,0.00901,0.0,0.419,0.652,101.855,191573
3914,0SWgjMbFFzariuvxAxbybu,Give Me Sunshine - Jerome Dub,Santa Maradona F.C.,8,1vWVS6bAKYvIGjQlyabdpT,Give Me Sunshine,2014-10-17,Chillout & Remixes 💜,4NlAd9NpIa92IjErMyAriM,pop,indie poptimism,0.867,0.677,0,-6.978,1,0.0451,0.0507,0.143,0.562,0.541,119.001,246085
4916,0Sgu2kKr8M0uuqKygi2wrH,She Said,Sundara Karma,47,11vjbOVFGoGXWFQF5PwzUN,Youth is Only Ever Fun in Retrospect,2017-01-06,Indie Poptimism,7Ic1UwucK3ozdycPBIPVSR,pop,indie poptimism,0.418,0.945,7,-3.757,1,0.0683,0.0003,0.0,0.106,0.693,165.041,224640
2764,0SibPl0V9rpSmaqx4mXzmV,Espejo,Javiera Mena,35,4C3iEuPGaKx70a24kTEZmA,Espejo,2018-04-27,This Is: Javiera Mena,37i9dQZF1DWSOvcBNdfJ87,pop,electropop,0.656,0.811,1,-5.411,0,0.0305,0.125,0.00728,0.164,0.501,122.967,224133
2154,0SmGNsRrydgF19xlWl1UpB,My head is a Jungle - MK Remix [Radio Edit],Wankelmut,28,6IaVtZKsmvh35WRvqfhVNT,My Head Is A Jungle (MK Remixes),2014-08-18,BALLARE - رقص,1CMvQ4Yr5DlYvYzI0Vc2UE,pop,post-teen pop,0.683,0.789,7,-6.672,0,0.0355,0.0864,0.00419,0.253,0.456,124.023,207253
3345,0SmVMgeAawZGAER3ojBfXj,Nunca Es Tarde.,The Guadaloops,33,3UrKSz6EIWK9OU3vJAmhIc,Paradójico,2017-07-28,ELECTROPOP EN ESPAÑOL,3VfscqF7zq65IGKiYM3FS0,pop,electropop,0.596,0.616,0,-13.326,1,0.158,0.317,0.0,0.364,0.484,94.1,265546
3052,0SsPcietYXn1Mns3zpW4C2,Love to Hate You,Erasure,0,4wTlqU8wp6cBhkQr6GELNA,Chorus,1991-06-17,Electropop 80/90s,3FBD3d5zl74LaoBMVC4IXq,pop,electropop,0.622,0.712,6,-11.585,0,0.0407,0.0183,0.0184,0.403,0.87,119.955,235960
4609,0SuLAslEMFZAXf0SwY7syi,All Time Low,Jon Bellion,73,2jJReDZqTuAxr4R0ItimZc,The Human Condition,2016-06-10,A Loose Definition of Indie Poptimism,4ZO0wp9G8FA3X6oYNBzda6,pop,indie poptimism,0.617,0.567,0,-4.188,1,0.0828,0.0584,0.0,0.0933,0.505,90.246,217603
3925,0SzWYIT1tVV27FjUkruzLD,All That - The Knocks Remix,Carly Rae Jepsen,0,2V6JckkxAHDGUDhJIJvWD0,All That (The Knocks Remix),2015-09-18,Chillout & Remixes 💜,4NlAd9NpIa92IjErMyAriM,pop,indie poptimism,0.747,0.785,9,-5.15,1,0.0634,0.01,0.187,0.0669,0.777,121.007,310253
3562,0T7Horo32W34iuW6iC6iRU,Dream On,Depeche Mode,0,2P664rvpmtWEHUbLotgQy6,Exciter,2001-05-14,Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop,53CmFroG6MWR5reOOXJX6B,pop,electropop,0.813,0.56,10,-9.262,0,0.0409,0.262,0.00148,0.182,0.64,128.0,259867
4875,0TD0ydYJuFPEaqshquDEpw,Valentina,The Hunts,44,0onnJgma2xAAFMYr3lUZbs,Those Younger Days,2015-06-09,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,49qyKvg6UAQAvIMUIGMnP3,pop,indie poptimism,0.628,0.844,0,-6.614,1,0.0324,0.378,0.000713,0.225,0.607,144.015,230213
1775,0TDLuuLlV54CkRRUOahJb4,Titanium (feat. Sia),David Guetta,79,4bTjdxhRRUiWfwj200f9Kl,Nothing but the Beat (Ultimate Edition),2012-12-07,Post pop teen,222nc9tKxKhfZ2GBrOpwH3,pop,post-teen pop,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,245040
5080,0TEekvXTomKt3hdXDZxxeW,Ribs,Lorde,58,6rnzvZhe3PA57xKcKLRtJ6,Pure Heroine (Extended),2013-01-01,indie poptimism,1E5VdGGWkpDQ682gdvJAZH,pop,indie poptimism,0.511,0.472,4,-9.277,1,0.091,0.534,0.614,0.11,0.0399,127.978,258969
966,0TXDJf4CYjDJ06TmNa2JFo,Middlefingers,Tom & Jame,34,4dDwTmOTtVa291KwDN9TOQ,Middlefingers,2018-09-14,Pop Dance Hits,7eERKCkgNKCCx5GYdeMIZf,pop,dance pop,0.675,0.837,8,-2.905,1,0.0456,0.211,0.0,0.152,0.721,141.986,196500
2246,0Tf9Mwk7DwysEajSNGa8n2,goodnight n go,Ariana Grande,39,5KOu62BJwwCJTfyyAaEbZk,Sweetener,2018-08-17,Post Teen Pop,2Aud8PXoTGcyY5esHu4Aaz,pop,post-teen pop,0.694,0.453,1,-7.069,1,0.0397,0.0213,0.0,0.0795,0.24,110.909,189507
2128,0TwBtDAWpkpM3srywFVOV5,Crazy In Love (feat. Jay-Z),Beyoncé,69,06v9eHnqhMK2tbM2Iz3p0Y,Dangerously In Love,2003-03-10,BALLARE - رقص,1CMvQ4Yr5DlYvYzI0Vc2UE,pop,post-teen pop,0.664,0.758,2,-6.583,0,0.21,0.00238,0.0,0.0598,0.701,99.259,235933
5354,0U0l6YXTLm8QtMD8fd208t,Sticky Leaves,Linying,0,5I8Lxox5YBNGuvLmchWfdl,Paris 12,2016-09-30,Deep-deep Bubble Pop,744VClUYfFnZCDPcOUkg5G,pop,indie poptimism,0.43,0.537,0,-12.202,1,0.0948,0.928,0.0646,0.084,0.113,76.191,232000
3375,0U8hIG64PnssFf6y9w35di,Lejos de Ti,María Barracuda,26,1bhUnlxM5e8p9jkvHDGGu9,Maria Barracuda,2004-05-31,ELECTROPOP EN ESPAÑOL,3VfscqF7zq65IGKiYM3FS0,pop,electropop,0.447,0.655,4,-5.045,0,0.0316,0.0283,4.56e-06,0.215,0.332,157.623,312293
2032,0UFIw542loJPZV4q8pFqdT,Regulars,Allie X,52,3R0Y9fcNx7GIGXkbNqKoPz,Regulars,2019-11-08,a taste of the mainstream,4gbXqmZDUFHqlaYjf4uVyS,pop,post-teen pop,0.732,0.667,6,-6.62,1,0.0391,0.032,0.000574,0.111,0.521,114.966,221783
3060,0ULPav7qqKTHn7vgi9v42k,Enjoy the Silence,Depeche Mode,58,0h1RmJe86n74nWpNWWb2dj,"The Best of Depeche Mode, Vol. 1 (Deluxe)",2006-11-08,Electropop 80/90s,3FBD3d5zl74LaoBMVC4IXq,pop,electropop,0.646,0.763,0,-8.046,0,0.0273,0.0839,6.12e-05,0.0944,0.736,112.931,253587
2337,0UQAkAVNk3tubJYlOHyG3q,All About Us,He Is We,55,2TYyy4mug7CIiylNdLZojq,My Forever,2010-01-01,post teen pop,6rjxP7GQKoqqgoakzxl3PY,pop,post-teen pop,0.447,0.546,4,-5.26,1,0.0262,0.168,0.0,0.117,0.368,172.32,206173
3597,0UXcRajVmKz6b4i8ryqNhJ,Born to Be Alive,Toni Lo,32,0dXjcAQBSfm3w7JrYtZuhk,Best Songs of 80's Disco Music. Las Mejores Canciones De La Música Disco De Los Años 80,2013-12-20,80's Songs | Top 💯 80s Music Hits,65HtIbyFkaQPflCa4oW8KO,pop,electropop,0.699,0.894,2,-5.227,1,0.0298,0.00664,2.06e-05,0.0723,0.601,130.051,189547
954,0UZqdhKxrGxVLPVkTrCZ2d,I Refuse,Matt Strike,32,50lQbKRmoYVUht8Ex4M2xE,I Refuse,2019-01-18,Pop Dance Hits,7eERKCkgNKCCx5GYdeMIZf,pop,dance pop,0.568,0.651,9,-6.255,0,0.0925,0.205,1.01e-06,0.0444,0.175,82.318,200727
4383,0UbfSLuX1zF2em3HulFN0A,Keep You Close,FRENSHIP,48,08RH5oSOsDss5CuJBzaPzz,Vacation,2019-05-17,2019 in Indie Poptimism,16RNbqnNCCLlBJti7JU5nc,pop,indie poptimism,0.631,0.6,2,-7.912,1,0.0589,0.167,6.3e-05,0.101,0.525,76.015,197814
4217,0UgHTPXcW728KHbr7JbKr7,Birthday Girl,Blue Wednesday,43,0xqLG9KaR7gw3Bkc5Bza1v,Chillhop Essentials Summer 2019,2019-06-12,Indie/Jazz Poptimism,6OaTudLqBEuTyUMPxRNpZc,pop,indie poptimism,0.819,0.185,6,-19.975,1,0.11,0.908,0.612,0.387,0.705,153.045,169345
4440,0Ui7thqfvPMEAA8z4j51Se,Stuck,Jome,58,3lVbL4UqfDb1Z2i6XPaQde,Stuck,2019-04-12,2019 in Indie Poptimism,16RNbqnNCCLlBJti7JU5nc,pop,indie poptimism,0.437,0.523,0,-7.664,0,0.0655,0.593,4.15e-06,0.171,0.363,169.872,153176
5371,0UnjUj5D9vPhYOPK4Ifwwh,Golden Green,Agnes Obel,38,3jTTLPuVcL6J9pgujnU1lS,Citizen of Glass,2016-10-21,Deep-deep Bubble Pop,744VClUYfFnZCDPcOUkg5G,pop,indie poptimism,0.668,0.394,8,-12.811,0,0.0293,0.978,0.0941,0.112,0.457,138.551,239703
4308,0UreG2A8t2D4s0DycjmAbS,don't give up on me,pink roses,41,3YMkIPHsxWPcGDFjzY9r3D,bedroom,2019-11-07,The Edge of Indie Poptimism,5vIdb67lQcdFwoVkE4UMep,pop,indie poptimism,0.466,0.74,10,-9.027,1,0.0593,0.0357,0.00249,0.111,0.0887,177.896,272360
5333,0Uro2xUVsEHQNKR5QL4Lku,Fake Plastic Trees,Radiohead,3,1P1LYaTMV1LnDiHA3LOows,The Bends [Collectors Edition],1995-03-28,Deep-deep Bubble Pop,744VClUYfFnZCDPcOUkg5G,pop,indie poptimism,0.454,0.229,2,-12.592,1,0.0297,0.167,0.102,0.202,0.134,73.552,290707
3717,0V9cosR5jWa4fr2koARmhD,Summer Air,ItaloBrothers,68,3TraMumhPga1wOuyRDMrmi,Summer Air,2017-04-28,ElectroPop,0cuHKz65ZPqBX1brG8djlg,pop,electropop,0.755,0.751,8,-4.034,1,0.0748,0.0635,0.0,0.0812,0.491,102.002,183587
4604,0VOsR3sEACivA46VDuaLai,Samurai,Vanic,47,30aKybIu6FdsT7a47avct2,Samurai,2016-09-16,A Loose Definition of Indie Poptimism,4ZO0wp9G8FA3X6oYNBzda6,pop,indie poptimism,0.381,0.668,1,-4.328,0,0.0326,0.00457,0.0,0.0877,0.104,75.004,201600
2980,0VgkVdmE4gld66l8iyGjgx,Mask Off,Future,81,17FBoXK1NU2rvJBbzdzw0r,FUTURE,2017-06-30,ELECTROPOP🐹,44p8nNLe4fGfUeArS3MaIX,pop,electropop,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,204600
2332,0VwNdo84DaVYLIkbVO86ND,We Are Never Ever Getting Back Together,Taylor Swift,74,4jTYApZPMapg56gRycOn0D,Red (Big Machine Radio Release Special),2012-10-21,post teen pop,6rjxP7GQKoqqgoakzxl3PY,pop,post-teen pop,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65e-05,0.121,0.75,85.984,193147
5086,0Vwfd6fxFrL3kCnZSJ9vid,Sloppy Seconds,Watsky,22,2zgb2l9pexGdZkM5pGuwb9,Cardboard Castles,2013-01-01,indie poptimism,1E5VdGGWkpDQ682gdvJAZH,pop,indie poptimism,0.74,0.716,6,-5.796,0,0.0609,0.207,3.51e-06,0.0926,0.804,117.977,245933
4530,0VzzzYWjBWofMsSB77pDo4,Lush Life,Zara Larsson,12,6zcIEXAc5SYa7DMJ3CyACz,Lush Life,2015-06-05,A Loose Definition of Indie Poptimism,4ZO0wp9G8FA3X6oYNBzda6,pop,indie poptimism,0.658,0.741,7,-2.86,0,0.0536,0.141,0.0,0.189,0.789,98.024,202213
